Country_for_merge,count,median,mean
United States,4256,260159.01060070668,291840.8586339966
Israel,213,254456.1403508772,267961.1440573264
Romania,159,205074.38016528927,231134.3884817298
South Africa,155,192336.17021276598,586558.2704186685
Poland,545,191261.01694915254,207825.79381122687
Bulgaria,101,189694.77911646586,200262.71422322953
Australia,455,182468.57142857142,196022.87807430665
United Kingdom,1274,181210.19108280254,215006.60940515355
Denmark,192,178998.0079681275,200288.15986055776
Canada,809,175868.9516129032,204400.31998883528
Ireland,110,173685.873605948,182140.19939168642
New Zealand,141,167002.17391304346,180675.31606537156
Germany,1818,165990.9090909091,176728.04030403038
Argentina,129,161878.3068783069,234908.74041261643
Ukraine,1357,157894.73684210525,232699.22472602534
Belgium,187,155661.83574879228,176554.69012374384
Norway,211,154487.52399232244,161949.6684283778
Finland,156,151990.56603773584,173642.5374939526
Portugal,178,151967.14285714287,177859.98394863564
Hungary,142,150416.97416974168,187605.37394106336
Switzerland,349,150241.65554072094,161250.63025772662
Czech Republic,254,148174.1741741742,165371.958572746
Austria,313,148013.42281879194,166895.3406093874
Spain,510,144817.41573033706,164058.58669310418
Netherlands,535,142768.91615541923,168013.77596850335
Sweden,427,139926.6503667482,159369.1988800009
Russia,233,128665.07177033494,173691.6853194242
France,847,124312.49999999999,145357.8561589925
Brazil,632,123558.97435897436,270526.111652061
India,987,122255.47445255476,224152.75220198347
Greece,157,113228.9156626506,150461.80262451078
Iran,108,112359.55056179775,545158.655846858
Mexico,152,110475.35211267608,138773.9760934025
Italy,495,106010.38961038961,127746.62993572085
Turkey,185,96899.22480620154,137363.880159229
Pakistan,137,77603.60360360361,462999.07937134214
Bangladesh,106,53109.375,87880.89622641509
