JobSat_num,count,median,mean
0.0,153,154163.48195329087,183840.87077099527
1.0,138,157315.10451227607,196444.15964993005
2.0,428,149676.30218557778,181279.70068002213
3.0,614,162389.06581740978,203199.7400438538
4.0,613,139926.6503667482,168091.1072573641
5.0,919,153710.2473498233,199493.41025743677
6.0,1899,156868.36518046708,203819.5920805202
7.0,3272,163592.38095238095,209019.1053133972
8.0,3925,175800.4246284501,212256.7230614899
9.0,1920,189680.74182626713,223750.45761583242
10.0,1122,203180.21201413425,355762.4170566315
